target,feature,coef,t_stat,p_value,r_squared,n_obs
core_cpi_yoy_3m_fwd,ew_uncertainty_density,0.3088105736234997,1.4591833947970052,0.14451463786960567,0.09536397038167477,40
core_cpi_yoy_3m_fwd,share_guidance_raised,-0.020564713395145567,-0.1664417583338267,0.8678093138349283,0.00042290743702433353,40
core_cpi_yoy_3m_fwd,fed_inflation_score,0.3068705037226282,3.313695423170713,0.0009207174137925491,0.09416950605497931,40
core_cpi_yoy_3m_fwd,fed_growth_score,-0.016160398301588257,-0.1066669290739836,0.9150532196567658,0.00026115847326602104,40
cpi_yoy_change_3m_fwd,ew_growth_signal,0.1831540307470234,0.8434711399479945,0.3989649998234258,0.033545398978881535,39
cpi_yoy_change_3m_fwd,ew_margin_signal,0.6127075003667972,4.394451847144222,1.1105261542373589e-05,0.3754104810057287,39
cpi_yoy_change_3m_fwd,ew_pricing_power_net,-0.05165865549312553,-0.3078018800872494,0.7582330908989977,0.002668616687357628,39
cpi_yoy_change_3m_fwd,ew_labor_pressure_density,-0.24006482189042744,-1.1346216386331616,0.25653388274047817,0.05763111870928295,39
cpi_yoy_change_3m_fwd,ew_supply_chain_pressure_density,-0.5887321221325076,-7.5912352786581385,3.168699861147133e-14,0.3466055116306459,39
cpi_yoy_change_3m_fwd,ew_macro_risk_density,0.04264779696384986,0.26002898147387005,0.7948414183357351,0.001818834585869844,39
cpi_yoy_change_3m_fwd,ew_uncertainty_density,-0.051035430869675935,-0.2666949127935428,0.7897040711039103,0.0026046152040536397,39
cpi_yoy_change_3m_fwd,share_guidance_raised,0.058799871930468234,0.39589372560445696,0.6921834299587137,0.003457424939039444,39
cpi_yoy_change_3m_fwd,fed_inflation_score,-0.2228023624379526,-1.6567173440771787,0.09757663476803285,0.04964089270793304,39
cpi_yoy_change_3m_fwd,fed_growth_score,-0.09875145118288761,-0.7953843275905145,0.4263899737135345,0.009751849110726352,39
core_cpi_yoy_change_3m_fwd,ew_growth_signal,-0.05272683129029384,-0.2796513883753144,0.7797449771624223,0.0027801187379153935,39
core_cpi_yoy_change_3m_fwd,ew_margin_signal,0.3152464607399522,2.171014378105549,0.029930085532478588,0.0993803310090664,39
core_cpi_yoy_change_3m_fwd,ew_pricing_power_net,0.05544414789053483,0.39394624973492637,0.6936207233044175,0.0030740535353077636,39
core_cpi_yoy_change_3m_fwd,ew_labor_pressure_density,-0.1637641833335614,-0.7761576930646776,0.43765588253408716,0.02681870774290851,39
core_cpi_yoy_change_3m_fwd,ew_supply_chain_pressure_density,-0.3905574098644585,-2.617464459340118,0.008858571280958617,0.15253509040003488,39
core_cpi_yoy_change_3m_fwd,ew_macro_risk_density,0.2915597996431394,1.7729821185737837,0.07623166993113151,0.08500711676794748,39
core_cpi_yoy_change_3m_fwd,ew_uncertainty_density,0.20642994125746722,1.1577767007114363,0.2469551738731529,0.042613320647561514,39
core_cpi_yoy_change_3m_fwd,share_guidance_raised,-0.09072137403773664,-0.5847375578102888,0.5587241960887194,0.008230367707295128,39
core_cpi_yoy_change_3m_fwd,fed_inflation_score,-0.2684512029784283,-1.6229423315807678,0.10460173320728987,0.0720660483805654,39
core_cpi_yoy_change_3m_fwd,fed_growth_score,-0.1870302428597592,-1.400088751325934,0.16148674309642297,0.03498031174418059,39
unemployment_change_3m_fwd,ew_growth_signal,0.08726675294695654,0.6483115074338692,0.5167834926865305,0.007615486169905261,39
unemployment_change_3m_fwd,ew_margin_signal,0.11611894650961381,0.933634876890468,0.3504922681956735,0.013483609738502489,39
unemployment_change_3m_fwd,ew_pricing_power_net,-0.014411942468471006,-0.11108557756381916,0.9115484853904408,0.00020770408571457732,39
unemployment_change_3m_fwd,ew_labor_pressure_density,-0.14704833557973096,-1.4043039092495297,0.1602283706886649,0.02162321299676906,39
unemployment_change_3m_fwd,ew_supply_chain_pressure_density,-0.13555614646933187,-1.2992570421810306,0.1938557314292071,0.01837546884561503,39
unemployment_change_3m_fwd,ew_macro_risk_density,-0.06248413292956738,-0.3699018662882413,0.7114556108250374,0.003904266867959638,39
unemployment_change_3m_fwd,ew_uncertainty_density,-0.08185160061300867,-0.6851190925513899,0.4932687732141142,0.006699684522911364,39
