period_year,period_quarter,year_quarter,category,raw_score,z_score
2021,2,2021-Q2,Uncertainty,-0.0003881213336103951,1.0965295150921959
2021,3,2021-Q3,Inflation,-0.007053583296470963,-0.29536946628525684
2021,3,2021-Q3,Growth,0.00044085810146636295,-0.1452771672995587
2021,3,2021-Q3,Labor,5.03235710724643e-05,-0.9238055651107615
2021,3,2021-Q3,Rates,0.0007879572149625042,1.5311995139349914
2021,3,2021-Q3,Financial Conditions,-2.782536825074415e-06,0.3865062496345317
2021,3,2021-Q3,Uncertainty,-0.0006280889047922185,0.6977726862833908
2021,4,2021-Q4,Inflation,-0.006080359020841267,0.16088369225272803
2021,4,2021-Q4,Growth,0.00037881903427658777,-0.33754379494547515
2021,4,2021-Q4,Labor,5.5668037308362694e-05,-0.8988911734379013
2021,4,2021-Q4,Rates,0.0004543392861890434,0.9688725786663746
2021,4,2021-Q4,Financial Conditions,-2.4364564874739834e-05,0.0434866222175272
2021,4,2021-Q4,Uncertainty,-0.00044977065852850993,0.9940861341741781
2022,1,2022-Q1,Inflation,-0.00650021270413992,-0.035946138163158774
2022,1,2022-Q1,Growth,0.0004059990874424657,-0.25330949874862096
2022,1,2022-Q1,Labor,0.00035095619823200186,0.47765880796045646
2022,1,2022-Q1,Rates,0.0002491975842050171,0.6230976828249792
2022,1,2022-Q1,Financial Conditions,2.2039816867054495e-06,0.4657607904071836
2022,1,2022-Q1,Uncertainty,-0.0010274702905557333,0.03411611765622049
2022,2,2022-Q2,Inflation,-0.007445880650697572,-0.47928073055800335
2022,2,2022-Q2,Growth,0.00030987384258490875,-0.5512133438187876
2022,2,2022-Q2,Labor,0.0002597240058851185,0.052360102163342276
2022,2,2022-Q2,Rates,-0.00026420945907573305,-0.24227130455167434
2022,2,2022-Q2,Financial Conditions,8.551004872846193e-06,0.5666388693118599
2022,2,2022-Q2,Uncertainty,-0.0011272075838251355,-0.13161847132266347
2022,3,2022-Q3,Inflation,-0.008544391545468665,-0.9942689793903837
2022,3,2022-Q3,Growth,0.00018550676459693435,-0.9366420705560824
2022,3,2022-Q3,Labor,0.00026881624964023596,0.09474557380848855
2022,3,2022-Q3,Rates,-0.00033004767600889495,-0.3532443655250102
2022,3,2022-Q3,Financial Conditions,-7.651997799288561e-05,-0.7854591253459722
2022,3,2022-Q3,Uncertainty,-0.0008224866673876795,0.3747397241280253
2022,4,2022-Q4,Inflation,-0.008899882035397743,-1.160924973205802
2022,4,2022-Q4,Growth,0.0003579699346523498,-0.4021576947957722
2022,4,2022-Q4,Labor,0.0002447624514163466,-0.017386437830871473
2022,4,2022-Q4,Rates,-0.0009288242127234481,-1.3625071951317749
2022,4,2022-Q4,Financial Conditions,-7.358775219786046e-05,-0.7388550250548668
2022,4,2022-Q4,Uncertainty,-0.0008462025826214786,0.3353307193847857
2023,1,2023-Q1,Inflation,-0.009428472831443482,-1.4087313897832485
2023,1,2023-Q1,Growth,0.0005491785600170991,0.19042113078900072
2023,1,2023-Q1,Labor,0.0004010453291852919,0.7111601852806319
2023,1,2023-Q1,Rates,-0.0008678417451482516,-1.2597187022508551
2023,1,2023-Q1,Financial Conditions,-9.914067813900429e-05,-1.1449871603470063
2023,1,2023-Q1,Uncertainty,-0.0008642898374539727,0.3052749233314214
2023,2,2023-Q2,Inflation,-0.0074099387249960905,-0.4624309483075263
2023,2,2023-Q2,Growth,0.0004037465352651151,-0.2602904323821145
2023,2,2023-Q2,Labor,0.0005362616720854825,1.3415005745526036
2023,2,2023-Q2,Rates,-0.0010192260764133206,-1.5148833073455055
2023,2,2023-Q2,Financial Conditions,-0.00018317612378223073,-2.4806265723627066
2023,2,2023-Q2,Uncertainty,-0.0011012687733876403,-0.08851565646235379
2023,3,2023-Q3,Inflation,-0.009116230032637777,-1.2623501632220147
2023,3,2023-Q3,Growth,0.0007483718477961035,0.8077453979933881
2023,3,2023-Q3,Labor,0.0007305315148933958,2.2471316965963
2023,3,2023-Q3,Rates,-0.001252000783534141,-1.9072347860101422
2023,3,2023-Q3,Financial Conditions,-5.267939774035688e-05,-0.4065426056932059
2023,3,2023-Q3,Uncertainty,-0.0008419634254748219,0.34237497479103896
2023,4,2023-Q4,Inflation,-0.007088074935374205,-0.31153934571266195
2023,4,2023-Q4,Growth,0.000607586413947131,0.37143418614024815
2023,4,2023-Q4,Labor,0.00040060243733924545,0.7090955486201922
2023,4,2023-Q4,Rates,-0.0007901984487793784,-1.1288476874592346
2023,4,2023-Q4,Financial Conditions,-7.719202486740859e-05,-0.7961404787375599
2023,4,2023-Q4,Uncertainty,-0.0013752146002238008,-0.5437345372328058
2024,1,2024-Q1,Inflation,-0.0077826729852980185,-0.6371709212166905
2024,1,2024-Q1,Growth,0.0003997719121281304,-0.2726082737251163
2024,1,2024-Q1,Labor,0.0006794350240711277,2.008934292166315
2024,1,2024-Q1,Rates,-0.0007466266901262781,-1.055405670725478
2024,1,2024-Q1,Financial Conditions,-8.450588831615045e-05,-0.9123852871213194
2024,1,2024-Q1,Uncertainty,-0.0006586289234391771,0.6470239916683352
2024,2,2024-Q2,Inflation,-0.006987306453680199,-0.26429849978922876
2024,2,2024-Q2,Growth,0.0004126082040574644,-0.23282704114819738
2024,2,2024-Q2,Labor,0.0004834946889727592,1.0955158070120914
2024,2,2024-Q2,Rates,-0.00072544675557909,-1.0197060075602002
2024,2,2024-Q2,Financial Conditions,-6.96582817688677e-05,-0.6764009554281649
2024,2,2024-Q2,Uncertainty,-0.0006556793833825588,0.6519252757611366
2024,3,2024-Q3,Inflation,-0.006942291768484541,-0.2431953555136472
2024,3,2024-Q3,Growth,0.0004987235433494384,0.03405488703431644
2024,3,2024-Q3,Labor,0.00022257485115791684,-0.12081876179361202
2024,3,2024-Q3,Rates,-0.0005009835960400317,-0.6413639890471048
2024,3,2024-Q3,Financial Conditions,-0.0001009450847937423,-1.173665971114588
2024,3,2024-Q3,Uncertainty,-0.0007275908963050612,0.5324291008963535
2024,4,2024-Q4,Inflation,-0.006410131966591918,0.00628423160758588
2024,4,2024-Q4,Growth,0.0006264705689726466,0.42995848328340325
2024,4,2024-Q4,Labor,0.00030484227191366383,0.26268871157339285
2024,4,2024-Q4,Rates,-0.0003381598384165897,-0.3669177536486378
2024,4,2024-Q4,Financial Conditions,-1.8088896384371074e-05,0.14323060653656802
2024,4,2024-Q4,Uncertainty,-0.0009326185316917359,0.1917323588227686
2025,1,2025-Q1,Inflation,-0.006360609376060388,0.02950070792736777
2025,1,2025-Q1,Growth,0.0006155652306617575,0.3961615112245126
2025,1,2025-Q1,Labor,0.0004204153974148984,0.8014579709343037
2025,1,2025-Q1,Rates,-0.00015826817230755856,-0.06370284653809444
2025,1,2025-Q1,Financial Conditions,-1.7395757003790397e-05,0.15424719920930915
2025,1,2025-Q1,Uncertainty,-0.0016308536509186853,-0.9685328409067102
2025,2,2025-Q2,Inflation,-0.006309463208632764,0.05347832646844603
2025,2,2025-Q2,Growth,0.0005821226304069351,0.2925188186121889
2025,2,2025-Q2,Labor,0.00022553846810969292,-0.107003216845658
2025,2,2025-Q2,Rates,3.153882699792149e-05,0.25622476827681323
2025,2,2025-Q2,Financial Conditions,-1.748380262231475e-05,0.15284782306206188
2025,2,2025-Q2,Uncertainty,-0.0027948657743767733,-2.902784959887646
2025,3,2025-Q3,Inflation,-0.005971763080575329,0.2117940959401805
2025,3,2025-Q3,Growth,0.0004364293980370973,-0.1590022587904434
2025,3,2025-Q3,Labor,0.0002212966479150352,-0.12677738419387488
2025,3,2025-Q3,Rates,3.744690057953646e-05,0.2661830727441579
2025,3,2025-Q3,Financial Conditions,-1.5414392540394014e-05,0.1857385353547117
2025,3,2025-Q3,Uncertainty,-0.0011590113307075498,-0.18446711744852
2025,4,2025-Q4,Inflation,-0.004838473429298501,0.743086826589456
2025,4,2025-Q4,Growth,0.0005161582463202745,0.0880871556684805
2025,4,2025-Q4,Labor,0.0001393188688828825,-0.5089346296750791
2025,4,2025-Q4,Rates,-3.0486917385472268e-05,0.15167778881710794
2025,4,2025-Q4,Financial Conditions,-5.11797234207838e-06,0.3493873922660019
2025,4,2025-Q4,Uncertainty,-0.0013200147331533625,-0.45200829341047866
2026,1,2026-Q1,Inflation,-0.010984191066002862,-2.1380610788249634
2026,1,2026-Q1,Growth,0.0018912514321103224,4.349668470583965
2026,1,2026-Q1,Labor,0.0001926040061633282,-0.2605343737935894
2026,1,2026-Q1,Rates,0.000426940295045463,0.9226904361902021
2026,1,2026-Q1,Financial Conditions,0.0,0.4307312289930363
2026,1,2026-Q1,Uncertainty,-0.002865245625429895,-3.01973595488986
