central_bank,region,period_year,period_quarter,year_quarter,sentence_count,token_count,avg_sentence_length,long_word_share,complexity_score,demand_net,pricing_net,supply_pressure_net,capex_net,inflation_net,gdp_growth_net,ai_net,unemployment_net,uncertainty_net,rates_net,financial_conditions_net,overall_net_tone,hawkish_dovish_net,demand_raw,demand_zscore,inflation_raw,inflation_zscore,employment_raw,employment_zscore,capex_raw,capex_zscore,ai_raw,ai_zscore,hawkish_dovish_raw,hawkish_dovish_zscore
BOJ,Japan,2023,2,2023-Q2,103.81818181818181,2545.909090909091,24.279275081566098,0.2314232481079088,5.5998099194311415,0.0,-0.000389050360644118,-0.0003407103476959441,0.0014780064416080264,-0.004150642179794679,2.7213484496697663e-05,1.5649697178359598e-05,0.0005777570570780435,-0.0003922368862059841,-0.00014188317319737139,1.442085832948777e-05,-0.0005497907058835687,-0.3482715813598167,1.3606742248348832e-05,-1.5727977052605644,-0.0016268009627115802,-1.3827379062998966,0.0005777570570780435,1.1353944993220915,0.0014780064416080264,-1.0685457744574887,1.5649697178359598e-05,-0.5415962180658727,-0.3482715813598167,-0.24700388796038586
BOJ,Japan,2023,3,2023-Q3,137.6,3229.9,24.04943455595399,0.2353256953635911,5.65292614245665,0.0,0.0007729319245257627,-0.0007101292078042424,0.0021282174288599826,-0.0007097816884117935,0.00033565746786758875,3.246753246753247e-05,0.001173550700704069,-0.0005943362610938239,9.489372565082326e-06,0.0,0.0001813914732837752,-0.5973648809523809,0.00016782873393379437,-0.4552497412367812,-0.00021565965723009109,0.8384351584739813,0.001173550700704069,3.161850959674521,0.0021282174288599826,-0.23790018303270272,3.246753246753247e-05,-0.3969149375853174,-0.5973648809523809,-0.8308664057250518
BOJ,Japan,2023,4,2023-Q4,127.84615384615384,3184.923076923077,25.423543278828415,0.23093789091463368,5.8802469671299935,0.0,0.0008271949191545204,-0.0006612505569682348,0.0019996628370683427,-0.001432131716098911,0.00026098706253777906,0.0,0.0005458767667058603,-6.368493700049015e-05,8.561713924910211e-05,0.0,0.0030212617397835065,-0.41176198801198804,0.00013049353126888953,-0.7257940343599089,-0.0004220624513042084,0.5135517999395424,0.0005458767667058603,1.0269609484210795,0.0019996628370683427,-0.40212888267440877,0.0,-0.6762281839500717,-0.41176198801198804,-0.3958222975381353
BOJ,Japan,2024,1,2024-Q1,113.9090909090909,2840.5454545454545,25.43510220071698,0.23343308095389362,5.924474674141317,0.0,0.0005165727915206491,-0.00036479212672276516,0.0016628851294436565,-0.0002167474148266429,0.0002858686671371689,9.494422027059102e-05,0.0003198863251089803,-9.710201993123877e-05,0.0003672150317744139,0.0,0.001231799485402201,-0.1535650715364792,0.00014293433356858445,-0.6356435108910918,-2.1655583342919632e-05,1.1438026094165044,0.0003198863251089803,0.2583059027500094,0.0016628851294436565,-0.8323629507126823,9.494422027059102e-05,0.14056251038028042,-0.1535650715364792,0.20937865318612853
BOJ,Japan,2024,2,2024-Q2,119.42857142857143,2803.285714285714,23.871090541562406,0.23090371126094375,5.5211462285955175,-1.583430978243658e-05,0.0012222134463724563,-0.0004744905185365208,0.001787065878050052,-0.004975096688561702,0.0001608043401526017,4.109814236396515e-05,0.00034727730671678647,-0.00015247826310287946,0.001020355149260701,1.583430978243658e-05,0.003524483781473823,-0.05661222097534668,7.248501518508257e-05,-1.1461445844793918,-0.0014091245869085889,-1.0401096373284708,0.00034727730671678647,0.3514700917747826,0.001787065878050052,-0.6737218428383218,4.109814236396515e-05,-0.32266711260228137,-0.05661222097534668,0.4366313955347791
BOJ,Japan,2024,3,2024-Q3,97.0,2275.1666666666665,23.414054534840034,0.21477522165452032,5.000204016933098,0.0,0.0014041563166501032,-0.000520901465647496,0.001387513065369281,-0.002182944025180027,0.00038473827424530174,2.4845955078513218e-05,0.00016316985251740024,0.00024801415514138326,0.00024348148936936278,0.0,0.0013864166736577853,0.5666178902116402,0.00019236913712265087,-0.2774211623142232,-0.0004332297247258066,0.4959742215392307,0.00016316985251740024,-0.27472950594292633,0.001387513065369281,-1.1841512094618205,2.4845955078513218e-05,-0.46248220929209033,0.5666178902116402,1.897452310668095
BOJ,Japan,2024,4,2024-Q4,137.88888888888889,3131.222222222222,21.989816900654223,0.21518140879396452,4.741553257620746,-2.056851371919865e-05,-0.0004274186263145218,-0.0004655416656639082,0.0019292014774755298,-0.002145705862309323,0.0005468322704057646,0.00019264313962470253,0.00026408535488748827,-0.00010082282840738522,0.0002959465117933611,0.0,0.004727954278618453,-0.008268799102132459,0.000263131878343283,0.2353510857653766,-0.0010128887180959176,-0.4164240888399843,0.00026408535488748827,0.06851160432299519,0.0019292014774755298,-0.49214338390412565,0.00019264313962470253,0.981051462178937,-0.008268799102132459,0.5499460132239048
BOJ,Japan,2025,1,2025-Q1,136.08333333333334,3256.1666666666665,25.03095533423614,0.2328539982319653,5.849901763960701,0.0,0.0014023718525308833,-0.0010144256640753802,0.0016658653466323375,-0.0019752270371177784,0.0002856464718055925,2.3680969972530075e-05,0.0002407026358397698,-0.00034583880922232435,0.0010811584484258238,0.0,0.003609536106052721,0.4222955684764848,0.00014282323590279625,-0.6364485644950073,-0.0005290936162207586,0.3450819665638581,0.0002407026358397698,-0.01101939199054965,0.0016658653466323375,-0.8285557184176258,2.3680969972530075e-05,-0.4725043990671875,0.4222955684764848,1.5591678434593854
BOJ,Japan,2025,2,2025-Q2,122.6,2826.6,24.5859718563022,0.22433162341515325,5.517825055054727,1.827485380116959e-05,0.00044449895216098264,-0.0005849961046265367,0.0014517771487411362,-0.00615112107167373,0.0006166676265175486,0.0,0.0002482100221439665,-0.00047912424894605294,0.0007105146661317821,0.0,0.0006101448781690923,0.13185691391941395,0.0003174712401593591,0.6291136257263915,-0.0020972060747130945,-2.1231677698798546,0.0002482100221439665,0.01451527364285898,0.0014517771487411362,-1.1020537386617746,0.0,-0.6762281839500717,0.13185691391941395,0.8783938347516236
BOJ,Japan,2025,3,2025-Q3,266.14285714285717,5675.571428571428,20.954050060726072,0.2129039921310046,4.457036665616475,5.8331920604923356e-05,-0.00011890760335692633,-0.0013031898297296686,0.002169298256179254,-0.004133728830365355,0.0007589817927610269,0.00042828314536818034,0.0006686959287976203,-0.0005016488271745621,0.0005659861588791107,0.0,-0.0011152159019860593,0.36662218212429953,0.00040865685668297513,1.289877366231486,-0.0018519420878173167,-1.7371158845471695,0.0006686959287976203,1.4447023713761453,0.002169298256179254,-0.18541935946333282,0.00042828314536818034,3.0082266114896377,0.36662218212429953,1.4286721473437514
BOJ,Japan,2025,4,2025-Q4,181.0,4114.3,26.37286179701325,0.20518967740547406,5.410222914898762,3.265395252371203e-05,0.0003991184187815351,-0.00040711534274837525,0.002594731266942626,-0.0018874318065217892,0.0007436834119519172,0.0004126218806494276,0.00029007755725586685,-0.0002746221156884014,0.00015249056972416398,0.0,0.0023268060471067563,0.4511356209150327,0.0003881686822378146,1.141412692759667,-0.0006318095768295431,0.18340437684242275,0.00029007755725586685,0.15691816416412419,0.002594731266942626,0.3580720022109851,0.0004126218806494276,2.8734951318138404,0.4511356209150327,1.6267675165809752
ECB,Eurozone,2020,1,2020-Q1,109.88372093023256,2116.6744186046512,20.611124459142957,0.20977418687192312,4.440827151182719,-3.7673439095234683e-06,3.7514351959012885e-05,-0.00022757551268813851,0.001209994472202318,-0.0029988440312699234,0.00021110412214818126,7.874214658529518e-05,0.00016688621692254271,-0.0005278680668321211,0.00036894341977816014,7.534687819046937e-06,0.0004998180850947198,-0.17664682539682539,0.00010366838911932889,-0.5190920626747741,-0.0010629683973330164,1.4462040887904897,0.00016688621692254271,-0.42677919103390854,0.001209994472202318,0.4550946200352398,7.874214658529518e-05,-0.331981837063366,-0.17664682539682539,-1.5675070507345195
ECB,Eurozone,2020,2,2020-Q2,88.03571428571429,1941.0714285714287,23.170511163685955,0.2218958360971795,5.222107634052693,-6.99731303179579e-06,-9.033494395526578e-05,-0.00029775886104477277,0.0008753531115983792,-0.002873795089349355,-0.00012471066936426165,2.8407412479993125e-05,-5.675681160691256e-05,-0.0015506964308673995,0.00039289238835959773,4.020138384959232e-05,-0.0023780282890805736,-0.31242475778190065,-6.585399119802872e-05,-1.2711879994801143,-0.0010872962981164644,1.4216014798434595,-5.675681160691256e-05,-1.5372506271502013,0.0008753531115983792,-0.29213062387445166,2.8407412479993125e-05,-0.4188533721156677,-0.31242475778190065,-2.0485179884120868
ECB,Eurozone,2020,3,2020-Q3,114.08695652173913,2350.0434782608695,21.95120449531592,0.2383744557093493,5.263582667584847,-4.5105543326345716e-05,3.0912873146147335e-05,-0.0002109653297439581,0.0007464460681999127,-0.0029352050762160857,0.000830227495198243,2.0208443750823586e-05,-1.2190941823791477e-05,-0.0010308008003019529,0.0011207116169821248,0.0005475873825129614,0.00014520584000936413,-0.20013102573045027,0.0003925609759359486,0.7625967639639856,-0.0010384191776046322,1.471030515793311,-1.2190941823791477e-05,-1.3159643847609548,0.0007464460681999127,-0.5799689137118453,2.0208443750823586e-05,-0.43300377962271264,-0.20013102573045027,-1.6507028766294674
